Collection,Product,Print,Color,Fabric Type,Fabric Pattern,Product Type,Length,Length in inches,NA,Closure,Product Description,Fabric Description,Size & Fit,MRP,Discountd price (Max),Total quantity,size s quantity,size m quantity,size L,SIZE XL
1,Flared pantzo,Thar ,"Black, Red",Modal,Tie Dye,Pants,Maxi,41,,Elastic,"Somewhere between flared pants and a pallazo, we found the most flattering silhouette for all body types. A Curved cut that ensures perfect harmony in the fall of fabric and the curves of the body. Contemporary Chunri style fabric in hot red againt black. Makes you look like a goddess within the comfort of pyjamas. ",,Model (5'8) is wearing size S with custom length __43,1799,1500,2,2,,,
1,Flared pantzo,Sindhu,Indigo,"Cotton, Hand Block Printed",Motif,Pants,Maxi,41,Sleeveless,Elastic,"Somewhere between flared pants and a pallazo, we found the most flattering silhouette for all body types. A Curved cut that ensures perfect harmony in the fall of fabric and the curves of the body. Classic Indian indigo. Makes you look like a goddess within the comfort of pyjamas. ",,Model (5'9) is wearing size S with custom length __44,1499,1250,3,1,1,,1
1,Flared pantzo,Rann,Off White,Cotton,Solid Colour,Pants,Maxi,41,,Elastic,"Somewhere between flared pants and a pallazo, we found the most flattering silhouette for all body types. A Curved cut that ensures perfect harmony in the fall of fabric and the curves of the body. Creamy white cotton that goes with almost everything. Makes you look like a goddess within the comfort of pyjamas. ",,Model (5'8) is wearing size S with custom length __43,1299,1099,4,2,1,,1
1,Flared pantzo,Deccan,Black,Cotton,Solid Colour,Pants,Maxi,41,,Elastic,"Somewhere between flared pants and a pallazo, we found the most flattering silhouette for all body types. A Curved cut that ensures perfect harmony in the fall of fabric and the curves of the body. Classic black colour that makes it the perfect basic. Makes you look like a goddess within the comfort of pyjamas. ",,Model (5'9) is wearing size S with custom length __44,1299,1099,1,1,,,
1,Hawa flared Top,Chilpi,Green,Cotton,Motif,Top,Short,19,Sleeveless,String,Fully adjustable straps that tie into a cute bow at the front. Ruched neckline that makes your collarbones look amazing. An airy fit that gives you the comfort of being naked. This top gives you maximum control over the neckline and silhouette. ,,Model (5'8) is wearing size S,899,799,1,1,,,
1,Hawa flared Top,Patiala,Black,Cotton,Floral,Top,Short,19,Sleeveless,String,Fully adjustable straps that tie into a cute bow at the front. Ruched neckline that makes your collarbones look amazing. An airy fit that gives the comfort of being naked. This top gives you maximum control over the neckline and silhouette. ,,Model (5'8) is wearing size S,899,799,1,1,,,
1,Hawa flared Top,Thar ,"Black, Red",Modal,Tie Dye,Top,Short,19,Sleeveless,String,Fully adjustable straps that tie into a cute bow at the front. Ruched neckline that makes your collarbones look amazing. An airy fit that gives the comfort of being naked. This top gives you maximum control over the neckline and silhouette. ,,Model (5'5) is wearing size S,999,899,1,1,,,
1,Parda Top with side slits,Loktak,Green,Cotton,Floral,Top,Short,23,Sleeveless,Hooks,"A high neckline. A cute scrunched detail at the side. Almost fully covered front and back, with slits on the side for your waist to peek through. 3 hooking options so it hugs your chest as loosely or tightly as you want. This top hits the sweet spot between modest and sexy. ",,Model is wearing size S,999,899,1,1,,,
1,Parda Top with side slits,Patiala,Black,Cotton,Floral,Top,Short,23,Sleeveless,Hooks,"A high neckline. A cute scrunched detail at the side. Almost fully covered front and back, with slits on the side for your waist to peek through. 3 hooking options so it hugs your chest as loosely or tightly as you want. This top hits the sweet spot between modest and sexy. ",,Model is wearing size S,999,899,1,1,,,
1,Parda Top with side slits,Thar ,"Black, Red",Modal,Tie Dye,Top,Short,23,Sleeveless,Hooks,"A high neckline. A cute scrunched detail at the side. Almost fully covered front and back, with slits on the side for your waist to peek through. 3 hooking options so it hugs your chest as loosely or tightly as you want. This top hits the sweet spot between modest and sexy. ",,Model is wearing size S,1099,999,2,1,,1,
1,Drawstring Kurti ,Chittor,Indigo,Cotton,Motif,Kurti,Short,29,Sleeveless,String,"High reaching slits. Drawstrings that tie into bows on both sides, and give you control over the fit and fall. This Kurti doesn't play by the rules. Pairs perfeclty with the flared pantzo.",,Model is wearing size S,1699,1499,1,1,,,
1,Drawstring Kurti ,Pondi,"Teal, White",Cotton,Stripes,Kurti,Short,29,Sleeveless,String,"High reaching slits. Drawstrings that tie into bows on both sides, and give you control over the fit and fall. This Kurti doesn't play by the rules. Pairs perfeclty with the flared pantzo.",,Model is wearing size S,1899,1699,2,1,,1,
1,Flowy V neck Top,Qila (red fort),"Red, Black",Mul,Tie Dye,Top,Short,22,Sleeveless,String,A wide neckline controlled by a string that ties into a bow at the front. A slightly assymettrical hem. Dramatic flare that moves with you. This top is for main characters only. ,,Model is wearing size S,1099,950,1,1,,,
1,Flowy V neck Top,Jwalamukhi,Orange,Mul,Tie Dye,Top,Short,22,Sleeveless,String,A wide neckline controlled by a string that ties into a bow at the front. A slightly assymettrical hem. Dramatic flare that moves with you. This top is for main characters only. ,,Model is wearing size S,1099,950,2,1,,1,
1,Flared Mini Skirt,Jwalamukhi,Orange,Mul,Tie Dye,Skirt,Mini,14,,"Elastic, String",3 layers. Subtle flare. Shockingly orange. Pair with matching V neck flared top for an outrageous dress. ,,Model is wearing size S,899,799,1,1,,,
1,Ombre Midi Skirt,sangam,"Black, Teal",Mul,Tie Dye,Skirt,Midi,30,,Elastic,Bold wide belt. Sharp gradient. Micro-frills. Made with delicate Mul-mul. This midi skirt is a statement in a whisper.,,Model is wearing size S,1499,1299,1,1,,,
